Age,Height,Weight,Team,Year,Host_City,Event,GDP_adjustedPPP_Value,Cereal_yield_kg_per_hectare_Value,Military_expenditure_Value,Tax_revenue,Expense,Central_government_debt,Avg_Temp,Representing_Host,Medal_Binary
22.0,186.0,70.0,Sweden,1968,Mexico City,Athletics Men's 800 metres,172015861816.634,3394.9,941001815.120592,33205460517.6785,40142909672.487656,123586122905.30261,2.1,N,0
22.0,186.0,70.0,Sweden,1968,Mexico City,"Athletics Men's 1,500 metres",172015861816.634,3394.9,941001815.120592,33205460517.6785,40142909672.487656,123586122905.30261,2.1,N,0
25.0,186.0,70.0,Sweden,1972,Munich,"Athletics Men's 5,000 metres",172015861816.634,3368.0,1458082235.50212,33205460517.6785,40142909672.487656,118989024726.33513,2.1,N,0
25.0,186.0,70.0,Sweden,1972,Munich,"Athletics Men's 3,000 metres Steeplechase",172015861816.634,3368.0,1458082235.50212,33205460517.6785,40142909672.487656,118989024726.33513,2.1,N,0
29.0,186.0,70.0,Sweden,1976,Montreal,"Athletics Men's 3,000 metres Steeplechase",172015861816.634,3427.3,2345444903.33778,33787840062.43834,46490777013.479706,114706838903.30365,2.1,N,1
28.0,170.0,63.0,Australia,1964,Tokyo,Athletics Men's 20 kilometres Walk,295791026108.555,1323.7,655760104.921617,52862345142.23888,53507494548.2277,36236659768.630226,21.65,N,0
28.0,170.0,63.0,Australia,1964,Tokyo,Athletics Men's 50 kilometres Walk,295791026108.555,1323.7,655760104.921617,52862345142.23888,53507494548.2277,36236659768.630226,21.65,N,0
32.0,170.0,63.0,Australia,1968,Mexico City,Athletics Men's 50 kilometres Walk,295791026108.555,1338.7,1321600211.4560301,52862345142.23888,53507494548.2277,36236659768.630226,21.65,N,0
20.0,193.0,94.0,"Bahamas, The",2016,Rio de Janeiro,Athletics Men's 400 metres,11663909787.5813,9338.6,61606632362.78845,1651472600.4989002,1971040950.221832,6048127571.9448805,24.85,N,0
20.0,193.0,94.0,"Bahamas, The",2016,Rio de Janeiro,Athletics Men's 4 x 400 metres Relay,11663909787.5813,9338.6,61606632362.78845,1651472600.4989002,1971040950.221832,6048127571.9448805,24.85,N,1
21.0,178.0,72.0,Jamaica,1996,Atlanta,Athletics Men's 400 metres Hurdles,15896534680.4218,1374.5,41791263.9144818,3196665883.9106927,3719903239.12969,11485595273.009264,24.95,N,0
27.0,183.0,75.0,Botswana,2004,Athina,Athletics Men's Long Jump,17357303644.7452,274.2,314038897.140142,4258348439.143482,4990733828.909633,1205679760.6157715,21.5,N,0
31.0,183.0,75.0,Botswana,2008,Beijing,Athletics Men's Long Jump,25194359477.0522,361.0,332400254.289673,6896754692.1683,8830924455.214075,1977079231.8419995,21.5,N,0
26.0,181.0,60.0,Ethiopia,2008,Beijing,"Athletics Men's 3,000 metres Steeplechase",73862457732.4032,1446.3,388187596.747412,5771718996.819163,9512052097.576044,27665344121.524303,22.2,N,0
30.0,181.0,60.0,Ethiopia,2012,London,"Athletics Men's 3,000 metres Steeplechase",115941272342.921,2046.8,366539017.667525,10872502627.796568,9816028513.209661,18640655747.099762,22.2,N,0
19.0,172.0,71.0,Ghana,1988,Seoul,Athletics Men's 4 x 100 metres Relay,18144991955.8527,1095.8,22760424.6502865,2481815359.631588,3721570785.307127,10744671844.360651,27.2,N,0
19.0,174.0,69.0,Australia,1988,Seoul,Athletics Men's 200 metres,295791026108.555,1629.4,5836347868.209479,68548213909.25501,71712061913.13902,36236659768.630226,21.65,N,0
19.0,174.0,69.0,Australia,1988,Seoul,Athletics Men's 4 x 400 metres Relay,295791026108.555,1629.4,5836347868.209479,68548213909.25501,71712061913.13902,36236659768.630226,21.65,N,0
23.0,174.0,69.0,Australia,1992,Barcelona,Athletics Men's 400 metres,318222427788.86,1896.6,6882091580.0683,65811874386.062164,77917372255.73564,45102960762.21718,21.65,N,0
24.0,174.93798449612405,61.59782608695652,Barbados,1992,Barcelona,"Athletics Men's 5,000 metres",2249254115.02495,2571.4,24439870114.896008,556458331.9287221,594833051.5469435,1406192761.890253,26.0,N,0
24.0,183.0,80.0,Sweden,1976,Montreal,Athletics Men's 100 metres,172015861816.634,3427.3,2345444903.33778,33787840062.43834,46490777013.479706,114706838903.30365,2.1,N,0
30.0,173.0,66.0,Mexico,1968,Mexico City,Athletics Men's Marathon,545539459079.817,1430.4,148800000.0,41518932283.95068,55036724190.353004,254367905610.32648,21.0,Y,0
19.0,184.0,77.0,Spain,1964,Tokyo,Athletics Men's High Jump,529657688852.408,1178.5,386820000.721007,84259870851.92809,130873603409.63283,10635336720090.21,13.3,N,0
23.0,184.0,77.0,Spain,1968,Mexico City,Athletics Men's High Jump,529657688852.408,1569.1,668753624.841933,84259870851.92809,130873603409.63283,10635336720090.21,13.3,N,0
20.0,180.0,75.0,Norway,1972,Munich,Athletics Men's 100 metres,78180942391.7826,2981.7,491632831.176716,17943839526.236973,22146094233.9396,15516601434.210413,1.5,N,0
20.0,180.0,75.0,Norway,1972,Munich,Athletics Men's 200 metres,78180942391.7826,2981.7,491632831.176716,17943839526.236973,22146094233.9396,15516601434.210413,1.5,N,0
25.0,175.0,73.0,Marshall Islands,2012,London,Athletics Men's 100 metres,194641070.165309,3186.3629955638753,63982522731.993225,30717757.544536285,98790585.61960573,93415136.29130754,27.4,N,0
23.0,177.0,62.0,United States,1996,Atlanta,"Athletics Men's 3,000 metres Steeplechase",8100201000000.0,5175.3,271417000000.0,918229999999.9991,1615059999999.9995,3773520000000.0005,8.55,Y,0
31.0,177.0,62.0,United States,2004,Athina,"Athletics Men's 3,000 metres Steeplechase",12274928000000.0,6850.9,464676000000.0,1165100000000.0,2498699999999.9937,6922545000000.0,8.55,N,0
24.0,173.0,68.0,Spain,1988,Seoul,Athletics Men's 4 x 100 metres Relay,529657688852.408,3017.9,8900414226.53907,84259870851.92809,130873603409.63283,2942239299020.646,13.3,N,0
21.0,178.0,66.0,Botswana,1988,Seoul,Athletics Men's 800 metres,7068967861.18459,375.6,93747094.75606892,1944080179.861485,1886113911.679626,803819634.1531191,21.5,N,0
21.0,178.0,66.0,Botswana,1988,Seoul,Athletics Men's 4 x 400 metres Relay,7068967861.18459,375.6,93747094.75606892,1944080179.861485,1886113911.679626,803819634.1531191,21.5,N,0
